offset,length,text,translation
0x13d2b7,15,加賀桃太郎,
0x13d2c7,12,折笠富子,
0x13d2dc,15,空気を読む,
0x13d2f8,18,鼻血吹き出す,
0x13d32b,6,竹原,
0x13d33a,12,ティーダ,
0x13d347,3,誓,
0x13d34b,18,ミートソース,
0x13d35e,6,下巻,
0x13d365,3,彩,
0x13d369,9,右代宮,
0x13d373,19,Gファンタジー,
0x13d387,7,対象r,
0x13d38f,9,クール,
0x13d399,9,シット,
0x13d3c3,9,かき氷,
0x13d3d5,24,ファーストフード,
0x13d3ee,15,ゆるキャン,
0x13d3fe,6,100点,
0x13d405,15,暗黒四天王,
0x13d415,18,沙都子と梨花,
0x13d428,9,熊肉重,
0x13d432,21,五目うま煮ご飯,
0x13d448,9,洋菓子,
0x13d452,9,事故死,
0x13d48c,6,光へ,
0x13d493,12,日間賀島,
0x13d4a0,18,活きがいい！,
0x13d4b3,6,花火,
0x13d4ba,12,ワンワン,
0x13d4c7,6,叔母,
0x13d4ce,6,両親,
0x13d4d5,24,営林署の器材小屋,
0x13d4ee,24,オヤシロステッキ,
0x13d507,9,お弁当,
0x13d511,15,圭一の勝利,
0x13d521,15,ナポリタン,
0x13d6cb,27,K4 影紡し編のカケラ,
0x13d77e,6,帝王,
0x13d79d,6,悟史,
0x13d7a4,6,幸助,
0x13d7b3,9,警察庁,
0x13d7d9,12,キャリア,
0x13d7e6,6,盆栽,
0x13d7ed,15,カケラ結び,
0x13d7fd,6,聡志,
0x13d804,3,巴,
0x13d808,9,園芸部,
0x13d826,21,オカルティック,
0x13d83c,15,仁後真耶子,
0x13d84c,6,駒鳥,
0x13d883,24,穴を掘って埋まる,
0x13d89c,9,アイス,
0x13d8a6,18,後ろに下がる,
0x13d8c1,6,署長,
0x13d8d4,15,テスト答案,
0x13d8e4,6,泰夫,
0x13d8eb,9,除草剤,
0x13d8fd,12,神代海凪,
0x13d90a,15,ランドセル,
0x13d91a,15,さくたろう,
0x13d92a,24,カレーありがとう,
0x13d943,12,圭一の父,
0x13d950,6,リタ,
0x13d957,6,神主,
0x13d95e,6,吉岡,
0x13d98d,21,胃腸の弱い永沢,
0x13d9ab,12,詩音の父,
0x13d9c4,6,無料,
0x13d9df,9,普段着,
0x13d9e9,9,石灰岩,
0x13d9fc,60,エラーはありません。ゲームを開始します。,
0x13dba1,27,W4 厚生省官僚の逮捕,
0x13dbcf,25,スクリプト テスト,
0x13dc02,6,ミタ,
0x13dc09,18,ブロッコリー,
0x13dc34,12,総合病院,
0x13dc4d,15,かないみか,
0x13dc5d,12,頭の良さ,
0x13dc86,9,さンゴ,
0x13dc90,15,道頓堀一成,
0x13dca0,15,井ノ上奈々,
0x13dcbc,12,泡だて器,
0x13dcc9,9,真知子,
0x13dcd3,18,アナウンサー,
0x13dcfa,6,二重,
0x13dd11,9,小児科,
0x13dd1b,6,舞姫,
0x13dd32,5,燕13,
0x13dd38,12,佐藤縁寿,
0x13dd45,9,穴子輝,
0x13dd4f,12,熊沢チヨ,
0x13dd5c,18,嘘だぁ！！！,
0x13dd7b,9,水鉄砲,
0x13dd8d,12,瀬戸利樹,
0x13dd9a,5,12話,
0x13dda6,9,サイフ,
0x13ddb0,6,金塊,
0x13ddb7,15,タッチペン,
0x13ddd7,21,信念を貫くこと,
0x13dded,15,田村みこと,
0x13ddfd,12,鬼ヶ淵沼,
0x13de0a,12,古出梨花,
0x13de17,24,古手ハイリューン,
0x13de44,21,煮物ありがとう,
0x13de5a,9,鷹野よ,
0x13de64,12,スイーツ,
0x13de71,18,特別メンバー,
0x13de90,21,ブートキャンプ,
0x13dea6,15,シャアアア,
0x13dec2,3,茶,
0x13dec6,21,アバンチュール,
0x13dedc,9,あにぃ,
0x13dee6,21,アイドル握手会,
0x13defc,9,しもべ,
0x13df06,9,神隠し,
0x13df10,15,梨花の両親,
0x13df20,12,黄泉の国,
0x13df35,3,崖,
0x13df39,15,6月22日未明,
0x13df49,9,悪戯狸,
0x13df53,12,イカサマ,
0x13df80,15,レナの勝利,
0x13dfa8,7,8問目,
0x13e257,18,本編を続ける,
0x13e28c,18,G1 分譲地下見,
0x13e29f,27,L1 祭囃し編のカケラ,
0x13e2bb,16,X2 事件報告4,
0x13e2cc,12,研究快調,
0x13e2d9,12,一二三四,
0x13e2e6,15,地元説明会,
0x13e2f6,24,暇潰し編のカケラ,
0x13e30f,9,沙都子,
0x13e319,68,シーンジャンプを実行します。@rよろしいですか？,
0x13e399,6,右腕,
0x13e3a0,5,25歳,
0x13e3ba,6,明王,
0x13e3c1,15,松井菜桜子,
0x13e3d1,9,みちる,
0x13e3db,12,中原真衣,
0x13e3e8,15,かかみいな,
0x13e3f8,12,奉亀克寿,
0x13e405,6,勝也,
0x13e40c,6,篤士,
0x13e413,6,鷹野,
0x13e427,12,木林ゆう,
0x13e434,12,永沢秀治,
0x13e449,3,匠,
0x13e44d,3,巧,
0x13e451,12,愛知県警,
0x13e45e,12,ツンデレ,
0x13e47b,7,1970年,
0x13e483,7,1972年,
0x13e48b,6,龍桜,
0x13e492,9,保険証,
0x13e49c,9,コイン,
0x13e4ba,9,爆裂弾,
0x13e4c4,12,田無三四,
0x13e4ef,6,漆黒,
0x13e4f6,21,テレホンカード,
0x13e51c,9,症候群,
0x13e532,18,パン屋の小娘,
0x13e56d,24,シーフードカレー,
0x13e586,15,にゅうすい,
0x13e596,5,10点,
0x13e59c,21,私一人で充分だ,
0x13e5b2,8,"2,980円",
0x13e5c7,18,沙都子＆梨花,
0x13e5da,9,一ヶ月,
0x13e5e4,12,三者面談,
0x13e5f1,12,スーパー,
0x13e606,6,野球,
0x13e60d,15,犠牲フライ,
0x13e61d,24,ツーベースヒット,
0x13e636,6,入山,
0x13e645,18,ごめんなさい,
0x13e664,9,飛騨牛,
0x13e66e,15,大石と熊谷,
0x13e67e,18,頭から被った,
0x13e69d,6,牛飼,
0x13e6a4,12,人食い鬼,
0x13e6b1,9,八丁堀,
0x13e6cf,18,スクール水着,
0x13e6e2,7,4問目,
0x13e712,30,ひぐらしのなく頃に奉,
0x13e731,260,このセーブデータを使用するためには、アプリケーションをアップデートする必要があります。@rこのままゲームをはじめることもできますが、その場合は現在のセーブデータは削除されます。,
0x13eacd,9,A5 失意,
0x13ead7,15,B4 北条兄妹,
0x13eae7,27,C6 古手夫妻怪死事件,
0x13eb03,18,D2 地元説明会,
0x13eb16,18,F6 南井まどか,
0x13eb29,27,K5 宵越し編のカケラ,
0x13eb45,15,Y5 ヒントＶ,
0x13ebaf,6,路子,
0x13ebb6,6,進一,
0x13ebc5,9,風呂場,
0x13ebcf,12,しかほね,
0x13ebdc,6,文乃,
0x13ebe3,15,瀬戸総一郎,
0x13ebf3,6,辰由,
0x13ebfa,3,胸,
0x13ec0a,6,時報,
0x13ec19,9,茶風林,
0x13ec23,9,警視長,
0x13ec35,9,キムチ,
0x13ec3f,6,心霊,
0x13ec66,6,山田,
0x13ec6d,3,茜,
0x13ec71,15,織笠富美子,
0x13ec81,6,花屋,
0x13ec94,6,山本,
0x13ec9b,21,立ったまま気絶,
0x13ecb1,18,ぬらりひょん,
0x13ecc4,6,桃花,
0x13ecd3,24,アウトブレイク！,
0x13ecec,3,祭,
0x13ecf0,6,椅子,
0x13ecf7,12,100年以上,
0x13ed04,9,ヴァン,
0x13ed3b,7,検体s,
0x13ed43,9,園崎茜,
0x13ed5d,15,カツカレー,
0x13ed6d,12,けむしろ,
0x13ed7a,9,がおー,
0x13ed84,12,カップ麺,
0x13ed91,24,ローラースケート,
0x13edaa,9,小走り,
0x13edb4,18,着衣の重要性,
0x13eddf,18,気の済むまで,
0x13edf2,6,彩り,
0x13edf9,24,スイーツ食い放題,
0x13ee12,6,祟り,
0x13ee2d,15,梨花の父親,
0x13ee3d,4,1人,
0x13ee42,9,嘘だ！,
0x13ee4c,27,僕はきっと知ってる,
0x13ee68,18,沙都子と悟史,
0x13ee87,6,骨折,
0x13ee96,9,吊り橋,
0x13eea0,15,多臓器不全,
0x13eec0,6,包丁,
0x13eec7,21,メイド＆タイツ,
0x13f129,24,テストモード起動,
0x13f163,153,本体の設定で自動スリープを有効にしている場合、オートモード進行中は一時的に自動スリープが抑制されます。,如果在主机设置中启用了自动休眠功能，则在自动模式运行期间，自动休眠功能将被暂时禁用。
0x13f1fd,15,A3 一二三四,
0x13f20d,27,J1 暇潰し編のカケラ,
0x13f229,27,J5 染伝し編のカケラ,
0x13f245,24,三番目の「検体」,
0x13f25e,24,北条叔母撲殺事件,
0x13f320,6,入江,
0x13f33b,6,布団,
0x13f342,12,トランプ,
0x13f35b,12,夢交し編,
0x13f39c,12,東京都庁,
0x13f3a9,12,聖マリア,
0x13f3b6,12,スズさん,
0x13f3d7,6,富竹,
0x13f3ea,12,小林ゆゆ,
0x13f3f7,9,日立大,
0x13f401,9,土浦大,
0x13f40b,6,天竺,
0x13f412,6,芸能,
0x13f419,9,こくら,
0x13f437,12,中村悠一,
0x13f444,9,関利彦,
0x13f44e,7,1971年,
0x13f45e,9,小早川,
0x13f474,6,真央,
0x13f497,12,佐藤利奈,
0x13f4ac,6,熊谷,
0x13f4c3,3,楽,
0x13f4c7,12,語咄し編,
0x13f4d4,12,駐輪禁止,
0x13f4e1,12,上間江望,
0x13f4ee,12,天弄御魂,
0x13f509,12,前原佳一,
0x13f516,12,イケメン,
0x13f52f,24,鬼曝し編アフター,
0x13f550,18,ポークカレー,
0x13f563,18,スポーツカー,
0x13f59a,9,金縛り,
0x13f5b0,6,三原,
0x13f5d7,12,パジャマ,
0x13f5e4,12,門前仲町,
0x13f5f1,18,赤い物の速度,
0x13f941,15,おやっさん,
0x13f95d,43,カーソル位置/ゲーム内現在位置,
0x13f989,18,ヒロイン選択,
0x13fa0f,9,宝石店,
0x13fa19,6,伊織,
0x13fa20,3,斧,
0x13fa24,12,諫山実生,
0x13fa45,9,仲原舞,
0x13fa4f,6,漬物,
0x13fa56,15,おもちゃ屋,
0x13fa66,12,赤坂美雪,
0x13fa73,18,そらのむこう,
0x13fa96,9,ひデブ,
0x13faa8,15,たにかわち,
0x13fab8,15,右代宮大輔,
0x13fac8,12,仙堂奈々,
0x13fadd,6,前田,
0x13fae4,6,大谷,
0x13faf7,12,バケモノ,
0x13fb04,12,考古学者,
0x13fb11,6,医師,
0x13fb18,15,宮城季詩子,
0x13fb28,3,薫,
0x13fb2c,9,まどか,
0x13fb36,6,知恵,
0x13fb3d,9,石俊彦,
0x13fb47,12,不動産屋,
0x13fb54,21,科学警察研究所,
0x13fb7e,15,若本ノリ夫,
0x13fb9c,3,雀,
0x13fba0,6,廃車,
0x13fba7,6,兵吾,
0x13fbae,9,むぅ…,
0x13fbb8,15,漆黒の祭壇,
0x13fbc8,6,上巻,
0x13fbcf,9,解答編,
0x13fbd9,12,ショック,
0x13fbf2,12,そくそく,
0x13fbff,9,小日向,
0x13fc09,18,コンプエース,
0x13fc1c,12,桐原歩鳥,
0x13fc29,9,ホット,
0x13fc33,15,知恵サマー,
0x13fc43,9,ゆかり,
0x13fc55,15,カメラマン,
0x13fc75,18,ソウルフード,
0x13fc88,15,どなりぜめ,
0x13fc98,24,おととい来やがれ,
0x13fcb1,10,3分以上,
0x13fcc8,6,半日,
0x13fccf,21,焼き肉食い放題,
0x13fce5,15,焼き芋大会,
0x13fcf5,6,入岡,
0x13fd04,12,前原庭園,
0x13fd19,12,あの日へ,
0x13fd3a,9,従兄弟,
0x13fd44,15,バスタオル,
0x13fd5c,15,かまいたち,
0x13fd6c,24,分校の資材置き場,
0x13fd85,21,煎餅の値引き率,
0x13fda3,9,腕時計,
0x13fdad,15,実は男の娘,
0x1400b8,15,キャンセル,
0x140148,27,E4 四番目の「検体」,
0x140164,21,M6 臨床試験開始,
0x14017a,16,X3 事件報告5,
0x14018b,24,バラバラ殺人事件,
0x1401a4,12,北条悟史,
0x1401b1,24,皆殺し編のカケラ,
0x1401ca,6,魅音,
0x140222,7,7代目,
0x14022a,3,人,
0x14022e,6,国旗,
0x140235,6,松岡,
0x14023c,12,犯人探し,
0x140249,3,絆,
0x14024d,18,ゆきのむつき,
0x140260,15,荻上かおり,
0x140270,12,宝亀克寿,
0x140289,15,南井まどか,
0x140299,12,燕返し編,
0x1402a6,6,麻尋,
0x1402ad,9,井上七,
0x1402b7,9,茶風鈴,
0x1402c1,15,沢代みゆき,
0x1402d1,15,サインペン,
0x1402e1,6,デス,
0x1402e8,18,家具が増えた,
0x140307,21,キャラが増えた,
0x140329,6,中野,
0x140330,24,麻薬取締官事務所,
0x140351,15,白い宇宙服,
0x140361,12,シチュー,
0x14038a,9,茨城県,
0x140394,12,歯ブラシ,
0x1403a1,6,口先,
0x1403c0,24,エンジェルモート,
0x1403d9,3,叫,
0x1403dd,3,弦,
0x1403e1,18,雛見沢停留所,
0x1403f4,6,クネ,
0x140403,15,フレデリカ,
0x14043b,12,いりみず,
0x140448,15,じゅうたん,
0x140458,15,ひれつかん,
0x140468,6,有村,
0x14046f,4,0点,
0x140488,9,オフ会,
0x140492,9,ラップ,
0x1404a4,24,実に美味しそう！,
0x1404bd,12,拷問器具,
0x1404e2,6,叔父,
0x1404e9,3,兄,
0x1404ed,6,犬飼,
0x1404f4,12,高田馬場,
0x140501,18,ハンバーガー,
0x140514,24,流しそうめん対決,
0x14052d,12,敗北宣言,
0x14078f,15,全書庫解放,
0x1407ab,24,G3 昭和５８年６月,
0x1407c4,27,L3 澪尽し編のカケラ,
0x1407e0,33,W1 しらかば山荘篭城事件,
0x140802,24,女王への協力依頼,
0x140866,3,陸,
0x14086a,7,9代目,
0x140872,6,詩音,
0x140879,6,臓物,
0x140880,15,モデルガン,
0x140898,9,真奈美,
0x1408aa,6,丸美,
0x1408b1,3,無,
0x1408d5,15,カケラ弾き,
0x1408ed,12,田中一成,
0x1408fa,12,小林ゆう,
0x14094b,6,沖田,
0x140952,9,ウナギ,
0x140968,12,鷹野三四,
0x140975,3,猪,
0x140979,21,プリニー・稲穂,
0x1409c3,24,びっくりモンキー,
0x1409dc,9,充電器,
0x1409f3,9,出題編,
0x1409fd,21,ラストシーズン,
0x140a1f,9,副作用,
0x140a61,15,北條紗都子,
0x140a71,15,濡れた雑巾,
0x140a81,12,一日市民,
0x140a8e,9,特待生,
0x140aa4,12,じゅすい,
0x140ab9,9,及第点,
0x140ac3,18,部活メンバー,
0x140ad6,18,デカ盛り食堂,
0x140ae9,12,真の監督,
0x140af6,21,母が熱を出した,
0x140b0c,24,君は何も知らない,
0x140b34,6,眞音,
0x140b3b,6,頭痛,
0x140b42,6,麻疹,
0x140b49,6,歩道,
0x140b5c,21,フワラズの勾玉,
0x140b72,21,わんこそば対決,
0x140b88,6,灯油,
0x140b8f,15,大石と富竹,
0x140b9f,21,日替わりランチ,
0x140e6b,21,TIPS全取得(origin),
0x140e81,10,達成率:,
0x140e96,27,K3 皆殺し編のカケラ,
0x140eb2,15,M5 コピー薬,
0x140ec2,21,赤いカプセル薬,
0x140ed8,6,失意,
0x140edf,15,普通に開始,
0x140f7d,6,梨花,
0x140f84,12,ベーゴマ,
0x140fad,6,美雪,
0x140fb4,9,バナナ,
0x140fbe,6,刺青,
0x140fc5,12,フラワズ,
0x140fd2,6,嘉音,
0x140fd9,12,小野大輔,
0x140fe6,18,銅鑼野織乃楠,
0x141001,6,神鈴,
0x141008,6,競馬,
0x14100f,9,演劇部,
0x141019,3,朱,
0x14101d,21,父のキャバクラ,
0x141047,12,疑心暗鬼,
0x141054,18,幻覚が見える,
0x141067,6,光希,
0x141076,21,ミルフィ・桜木,
0x14108c,15,折笠富美子,
0x14109c,15,ブラジリア,
0x1410ac,6,真魚,
0x1410b3,9,一二三,
0x1410bd,21,真上にジャンプ,
0x1410fb,6,お梅,
0x141102,12,大浦冬華,
0x141117,5,28年,
0x14111d,9,ニーナ,
0x141137,21,アウトブレイク,
0x14115d,12,荒川龍一,
0x14116a,9,黒澤工,
0x141174,18,ヤングエース,
0x141187,12,電撃大王,
0x141194,12,古手羽生,
0x1411a1,18,インドに帰れ,
0x1411c4,12,ライオン,
0x1411d1,12,かっせき,
0x1411fe,24,目障りだ、失せろ,
0x141217,15,苺ショート,
0x141227,15,フキフキ！,
0x141237,15,ブリキー！,
0x141247,15,レナと魅音,
0x141257,15,あにしゃん,
0x141267,12,バランス,
0x141274,24,ガソリンスタンド,
0x14128d,15,市民プール,
0x1412b5,18,汝、奉り給え,
0x1412e0,18,興宮のホテル,
0x141303,9,米一俵,
0x14130d,3,椿,
0x14131d,11,昭和47年,
0x141329,6,雪絵,
0x141330,12,キャンプ,
0x141543,15,C1 研究快調,
0x141553,15,W5 退部届け,
0x141563,21,昭和５８年６月,
0x141579,24,目明し編のカケラ,
0x1415f7,12,製薬会社,
0x141604,9,大富豪,
0x14160e,9,前田愛,
0x141618,7,2008年,
0x141620,18,いとうかなこ,
0x141633,15,保志総次郎,
0x141643,12,宝亀克久,
0x141650,6,一美,
0x141657,12,しいたけ,
0x141670,9,リンゴ,
0x14167a,6,辰良,
0x141699,12,古手夫妻,
0x1416a6,3,薙,
0x1416aa,6,磯野,
0x1416b1,15,村田ゆかり,
0x1416c1,18,サシャ・葛城,
0x1416d4,6,警視,
0x1416f3,6,石原,
0x1416fa,6,教師,
0x141711,15,仁井谷良子,
0x141739,6,真緒,
0x141740,9,核弾頭,
0x14174a,6,高野,
0x141751,12,公由冬司,
0x14175e,15,牧野アンナ,
0x14177a,4,3話,
0x14177f,6,麗奈,
0x14178e,6,曹長,
0x141795,12,うりゅー,
0x1417a2,12,はにゅん,
0x1417af,9,耳かき,
0x1417b9,12,君恋し編,
0x1417d6,12,龍宮レナ,
0x1417ef,6,垣内,
0x1417f6,21,すったて鍋合戦,
0x141814,12,くすぐり,
0x141821,12,いりすい,
0x14182e,6,海音,
0x141835,6,利香,
0x14183c,21,アイスコーヒー,
0x141852,6,酢豚,
0x141865,18,ひげそり投法,
0x141878,21,満塁ホームラン,
0x1418a2,15,重機の隙間,
0x1418b2,12,前原豪邸,
0x1418e6,9,御神輿,
0x1418fc,3,弟,
0x141918,12,義理の妹,
0x141931,7,3問目,
0x141939,7,9問目,
0x141b9b,24,A1 谷河内の採石場,
0x141bb4,15,H2 竜宮レナ,
0x141bc4,27,J6 昼壊し編のカケラ,
0x141be0,27,K6 解々し編のカケラ,
0x141bfc,18,Z6 ヒントⅩⅡ,
0x141c0f,21,谷河内の採石場,
0x141c25,12,北条兄妹,
0x141c32,24,罪滅し編のカケラ,
0x141cc2,6,祐子,
0x141cc9,15,タイガース,
0x141cd9,24,舌を出した女の子,
0x141d0a,6,リサ,
0x141d11,21,きみざわさつき,
0x141d27,24,シフォン・うさだ,
0x141d40,9,警視庁,
0x141d65,12,心癒し編,
0x141d72,12,現場監督,
0x141d7f,6,空気,
0x141d8e,18,目覚まし時計,
0x141da1,15,デザイナー,
0x141db9,18,バッドエンド,
0x141dcc,3,渚,
0x141dd0,15,不二咲照文,
0x141de8,6,風花,
0x141def,21,イェアソムール,
0x141e1d,6,羽入,
0x141e30,6,鷹埜,
0x141e37,18,ドモン・骨川,
0x141e5a,3,奏,
0x141e5e,21,運気による変化,
0x141e74,12,こうふん,
0x141e8d,12,メガホン,
0x141ea6,12,北条聡子,
0x141eb3,12,古手利花,
0x141ec8,6,苺祭,
0x141ecf,9,すずり,
0x141ee5,9,ランチ,
0x141eef,9,女王様,
0x141ef9,9,綿アメ,
0x141f1b,24,メイド服の重要性,
0x141f34,10,1分以内,
0x141f3f,3,厠,
0x141f4b,21,フォークの神様,
0x141f61,9,ロース,
0x141f77,12,生き字引,
0x141f90,9,新聞紙,
0x141f9a,4,4人,
0x141f9f,6,豚肉,
0x141fae,6,馴鹿,
0x141fb5,18,精神を鋭利に,
0x141fc8,9,大中小,
0x141fd2,9,トマト,
0x141fe8,15,梨花の勝利,
0x14200c,18,荒川と利根川,
0x14201f,8,10問目,
0x14204f,134,セーブデータを更新中です。@r電源を切ったり、アプリケーションを終了したりしないでください。,
0x1422d6,13,TIPSを見る,
0x14231f,24,C2 女王の母の不信,
0x142338,15,H5 古手梨花,
0x142348,21,W6 捜査打ち切り,
0x14235e,21,最初の「検体」,
0x142374,12,竜宮レナ,
0x1423f3,6,圭一,
0x14240e,9,高屋敷,
0x142431,6,マミ,
0x142440,15,田村ゆりか,
0x142470,9,レモン,
0x14247a,9,第七室,
0x14248c,6,紗音,
0x142493,6,小林,
0x14249a,15,小野かおる,
0x1424aa,12,川淵奈々,
0x1424b7,9,滝口林,
0x1424c1,6,穀倉,
0x1424c8,3,神,
0x1424d4,3,愛,
0x1424d8,9,政治家,
0x1424e2,12,岐阜県警,
0x1424f7,6,一重,
0x1424fe,9,吉祥寺,
0x14251c,6,十三,
0x142523,12,反町美雪,
0x142530,3,狼,
0x142534,12,肉じゃが,
0x14254d,9,散弾銃,
0x142557,9,稲葉友,
0x14256d,3,礼,
0x142571,15,ジャーキー,
0x142581,15,銭湯の煙突,
0x142591,6,黄金,
0x142598,9,ツェル,
0x1425ae,21,対戦アクション,
0x1425cc,3,采,
0x1425d0,9,村田姫,
0x1425da,6,荒川,
0x1425f5,18,ボードゲーム,
0x142608,9,時報役,
0x142612,24,あら、詩音ちゃん,
0x14262b,6,息子,
0x14263e,18,太めの注射針,
0x142659,6,美音,
0x142660,6,理香,
0x142667,6,吉村,
0x14266e,12,ゲロゲロ,
0x142683,15,工事の看板,
0x142693,18,肉巻きお握り,
0x1426b2,18,マネージャー,
0x1426c5,21,アルセーヌ前原,
0x1426eb,9,グレー,
0x142701,21,沙都子の家の隣,
0x142717,15,飲み干した,
0x142727,18,おかわりした,
0x14273a,6,窒息,
0x14274d,15,6月27日未明,
0x14275d,6,羊飼,
0x142770,21,空間を把握しろ,
0x14278e,6,葛西,
0x14279d,12,レンコン,
0x1427be,7,5問目,
0x142a20,29,全シナリオ解放(origin),
0x142a94,77,』へのショートカットを実行します。@rよろしいですか？,
0x142af4,24,G6 動き始めた陰謀,
0x142b0d,27,J2 鬼隠し編のカケラ,
0x142b29,21,V6 サイコロの６,
0x142b3f,15,Y4 ヒントⅣ,
0x142b4f,15,Z2 ヒントⅧ,
0x142b5f,12,休部届け,
0x142b6c,12,古手梨花,
0x142bca,15,ライオンズ,
0x142bda,24,ピエロみたいな男,
0x142bf3,15,スタンガン,
0x142c0f,12,星総一郎,
0x142c1c,15,田村ゆかり,
0x142c2c,12,一般採用,
0x142c39,6,深雪,
0x142c40,12,フワラズ,
0x142c65,15,完売なのは,
0x142c75,12,マラソン,
0x142c82,9,出木杉,
0x142ca0,12,しゃもじ,
0x142cb5,12,田宮幸季,
0x142cd2,6,山沖,
0x142cd9,6,一八,
0x142cfc,6,織田,
0x142d03,9,日本刀,
0x142d19,21,アドベンチャー,
0x142d47,21,ビッグガンガン,
0x142d5d,15,神園しのぶ,
0x142d6d,12,相原優気,
0x142d7a,15,すったらん,
0x142d9e,12,スリール,
0x142dab,21,ジョリフィーユ,
0x142dc1,9,"49,800円",
0x142dcb,10,5分以上,
0x142dea,12,魔法少女,
0x142df7,12,タマネギ,
0x142e04,21,ランディ君人形,
0x142e1a,9,黄金郷,
0x142e24,18,オヤシロさま,
0x142e43,18,レインコート,
0x142e5e,12,勝利宣言,
0x143097,60,設定を初期値に戻します。よろしいですか？,
0x1430df,15,Y6 ヒントⅥ,
0x1430ef,21,入江の生い立ち,
0x143105,12,入江京介,
0x14314c,3,頭,
0x143150,9,鯛焼き,
0x14315a,15,ロマネスコ,
0x143172,6,台所,
0x143179,12,パチンコ,
0x143186,12,サナリィ,
0x143193,18,ゆきのさつき,
0x1431a6,15,涼宮かおり,
0x1431b6,12,氷上共子,
0x1431c3,15,聖ルチーア,
0x143206,6,赤坂,
0x14320d,6,戦人,
0x143214,6,烏養,
0x143223,24,フーコーの振り子,
0x143248,6,たま,
0x14324f,9,宇宙人,
0x143265,12,ヤンデレ,
0x143272,12,中野麻衣,
0x14327f,9,こひぎ,
0x143289,18,リリカ・高槻,
0x14329c,6,流桜,
0x1432af,6,三鷹,
0x1432b6,6,鬼婆,
0x1432d1,15,オムライス,
0x1432e1,15,公由真由美,
0x1432f1,12,嘘だッ！,
0x1432fe,18,しげっるチー,
0x143311,8,10円玉,
0x14332e,12,ケイレブ,
0x143343,9,しゆる,
0x14334d,6,前原,
0x143354,21,ヤングガンガン,
0x14336a,15,海水パンツ,
0x14338a,18,ジャガバター,
0x14339d,6,山羊,
0x1433a4,18,てるてる坊主,
0x1433b7,9,かせき,
0x1433c9,15,富竹と鷹野,
0x1433d9,15,チースー飯,
0x143409,15,物置の屋根,
0x143419,12,記憶喪失,
0x143426,15,梨花の母親,
0x143436,4,5人,
0x143443,24,感覚を研ぎ澄ませ,
0x143470,9,興宮署,
0x14347a,12,クシャミ,
0x143487,18,急用で帰った,
0x1434a6,18,アスパラガス,
0x1434b9,12,方位磁石,
0x1434c6,9,缶蹴り,
0x1434d0,9,巫女服,
0x1434fa,27,不明なエラーです。,
0x143516,27,データがありません,
0x143726,21,"CG,BGM,MOVIE全取得",
0x143748,65,前のチャプターに戻ります。@rよろしいですか？,
0x14378a,74,カケラ紡ぎのメニューに戻ります。@rよろしいですか？,
0x1437ed,27,E5 北条叔母撲殺事件,
0x143809,24,綿流し編のカケラ,
0x14384b,4,5個,
0x143850,5,29歳,
0x143856,5,28歳,
0x14385c,18,カリフラワー,
0x14386f,6,合掌,
0x143876,6,ナサ,
