offset_hou,offset_sui,length,text,translation,note
0x1a92a,0x1cb5a,12,憑落し編 #11,凭落篇 #11,
0x1a952,0x1cb94,12,憑落し編 #12,凭落篇 #12,
0x1a97a,0x1cbce,12,憑落し編 #13,凭落篇 #13,
0x1a9a2,0x1cc08,12,憑落し編 #14,凭落篇 #14,
0x1a9ca,0x1cc42,12,憑落し編 #15,凭落篇 #15,
0x1a9f2,0x1cc7c,12,憑落し編 END,凭落篇 END,
0x1aa12,0x1ccae,11,綿流し編 #1,绵流篇 #1,
0x1aa39,0x1cce8,11,綿流し編 #2,绵流篇 #2,
0x1aa60,0x1cd22,11,綿流し編 #3,绵流篇 #3,
0x1aa87,0x1cd5c,11,綿流し編 #4,绵流篇 #4,
0x1aaae,0x1cd96,11,綿流し編 #5,绵流篇 #5,
0x1aad5,0x1cdd0,11,綿流し編 #6,绵流篇 #6,
0x1aafc,0x1ce0a,11,綿流し編 #7,绵流篇 #7,
0x1ab23,0x1ce44,11,綿流し編 #8,绵流篇 #8,
0x1ab4a,0x1ce7e,11,綿流し編 #9,绵流篇 #9,
0x1ab71,0x1ceb8,12,綿流し編 #10,绵流篇 #10,
0x1ab99,0x1cef2,12,綿流し編 #11,绵流篇 #11,
0x1abc1,0x1cf2c,12,綿流し編 #12,绵流篇 #12,
0x1abe9,0x1cf66,12,綿流し編 #13,绵流篇 #13,
0x1ac11,0x1cfa0,12,綿流し編 END,绵流篇 END,
0x1ac31,0x1cfd2,21,綿流し編 お疲れさま会,绵流篇 慰劳会,
0x1ac5a,0x1d004,11,染伝し編 #1,染传篇 #1,
0x1ac81,0x1d03e,11,染伝し編 #2,染传篇 #2,
0x1aca8,0x1d078,11,染伝し編 #3,染传篇 #3,
0x1accf,0x1d0b2,11,染伝し編 #4,染传篇 #4,
0x1acf6,0x1d0ec,11,染伝し編 #5,染传篇 #5,
0x1ad1d,0x1d126,11,染伝し編 #6,染传篇 #6,
0x1ad44,0x1d160,11,染伝し編 #7,染传篇 #7,
0x1ad6b,0x1d19a,11,染伝し編 #8,染传篇 #8,
0x1ad92,0x1d1d4,11,染伝し編 #9,染传篇 #9,
0x1adb9,0x1d20e,12,染伝し編 #10,染传篇 #10,
0x1ade1,0x1d248,12,染伝し編 #11,染传篇 #11,
0x1ae09,0x1d282,12,染伝し編 #12,染传篇 #12,
0x1ae31,0x1d2bc,12,染伝し編 #13,染传篇 #13,
0x1ae59,0x1d2f6,12,染伝し編 END,染传篇 END,
0x1ae79,0x1d328,21,染伝し編 お疲れさま会,染传篇 慰劳会,
0x1af02,0x1d3e6,11,暇潰し編 #1,暇溃篇 #1,
0x1af29,0x1d420,11,暇潰し編 #2,暇溃篇 #2,
0x1af50,0x1d45a,11,暇潰し編 #3,暇溃篇 #3,
0x1af77,0x1d494,11,暇潰し編 #4,暇溃篇 #4,
0x1af9e,0x1d4ce,11,暇潰し編 #5,暇溃篇 #5,
0x1afc5,0x1d508,11,暇潰し編 #6,暇溃篇 #6,
0x1afec,0x1d542,11,暇潰し編 #7,暇溃篇 #7,
0x1b013,0x1d57c,11,暇潰し編 #8,暇溃篇 #8,
0x1b03a,0x1d5b6,11,暇潰し編 #9,暇溃篇 #9,
0x1b061,0x1d5f0,12,暇潰し編 #10,暇溃篇 #10,
0x1b099,0x1d63a,15,暇潰し編 BADEND,暇溃篇 BADEND,
0x1b0c4,0x1d674,12,暇潰し編 #11,暇溃篇 #11,
0x1b0ec,0x1d6ae,12,暇潰し編 END,暇溃篇 END,
0x1b10c,0x1d6e0,21,暇潰し編 お疲れさま会,暇溃篇 慰劳会,
0x1b155,0x1d732,11,目明し編 #1,目明篇 #1,
0x1b17c,0x1d76c,11,目明し編 #2,目明篇 #2,
0x1b1a3,0x1d7a6,11,目明し編 #3,目明篇 #3,
0x1b1ca,0x1d7e0,11,目明し編 #4,目明篇 #4,
0x1b1f1,0x1d81a,11,目明し編 #5,目明篇 #5,
0x1b218,0x1d854,11,目明し編 #6,目明篇 #6,
0x1b23f,0x1d88e,11,目明し編 #7,目明篇 #7,
0x1b266,0x1d8c8,11,目明し編 #8,目明篇 #8,
0x1b28d,0x1d902,11,目明し編 #9,目明篇 #9,
0x1b2b4,0x1d93c,12,目明し編 #10,目明篇 #10,
0x1b2dc,0x1d976,12,目明し編 #11,目明篇 #11,
0x1b304,0x1d9b0,12,目明し編 #12,目明篇 #12,
0x1b32c,0x1d9ea,12,目明し編 #13,目明篇 #13,
0x1b354,0x1da24,12,目明し編 #14,目明篇 #14,
0x1b37c,0x1da5e,12,目明し編 #15,目明篇 #15,
0x1b3a4,0x1da98,12,目明し編 #16,目明篇 #16,
0x1b3cc,0x1dad2,12,目明し編 #17,目明篇 #17,
0x1b3f4,0x1db0c,12,目明し編 #18,目明篇 #18,
0x1b41c,0x1db46,12,目明し編 #19,目明篇 #19,
0x1b444,0x1db80,12,目明し編 #20,目明篇 #20,
0x1b46c,0x1dbba,12,目明し編 #21,目明篇 #21,
0x1b494,0x1dbf4,12,目明し編 #22,目明篇 #22,
0x1b4bc,0x1dc2e,12,目明し編 #23,目明篇 #23,
0x1b4e4,0x1dc68,12,目明し編 #24,目明篇 #24,
0x1b50c,0x1dca2,12,目明し編 #25,目明篇 #25,
0x1b534,0x1dcdc,12,目明し編 END,目明篇 END,
0x1b56c,0x1dd26,15,目明し編 BADEND,目明篇 BADEND,
0x1b5b7,0x1dd80,11,昼壊し編 #1,昼坏篇 #1,
0x1b5de,0x1ddba,11,昼壊し編 #2,昼坏篇 #2,
0x1b605,0x1ddf4,11,昼壊し編 #3,昼坏篇 #3,
0x1b62c,0x1de2e,11,昼壊し編 #4,昼坏篇 #4,
0x1b653,0x1de68,11,昼壊し編 #5,昼坏篇 #5,
0x1b67a,0x1dea2,11,昼壊し編 #6,昼坏篇 #6,
0x1b6a1,0x1dedc,11,昼壊し編 #7,昼坏篇 #7,
0x1b6c8,0x1df16,11,昼壊し編 #8,昼坏篇 #8,
0x1b6ef,0x1df50,11,昼壊し編 #9,昼坏篇 #9,
0x1b716,0x1df8a,12,昼壊し編 #10,昼坏篇 #10,
0x1b73e,0x1dfc4,12,昼壊し編 #11,昼坏篇 #11,
0x1b766,0x1dffe,12,昼壊し編 #12,昼坏篇 #12,
0x1b79e,0x1e048,15,昼壊し編 BADEND,昼坏篇 BADEND,
0x1b7c9,0x1e082,12,昼壊し編 END,昼坏篇 END,
0x1b819,0x1e0e4,11,影紡し編 #1,影纺篇 #1,
0x1b840,0x1e11e,11,影紡し編 #2,影纺篇 #2,
0x1b867,0x1e158,11,影紡し編 #3,影纺篇 #3,
0x1b88e,0x1e192,11,影紡し編 #4,影纺篇 #4,
0x1b8b5,0x1e1cc,11,影紡し編 #5,影纺篇 #5,
0x1b8dc,0x1e206,11,影紡し編 #6,影纺篇 #6,
0x1b903,0x1e240,11,影紡し編 #7,影纺篇 #7,
0x1b92a,0x1e27a,11,影紡し編 #8,影纺篇 #8,
0x1b951,0x1e2b4,11,影紡し編 #9,影纺篇 #9,
0x1b978,0x1e2ee,12,影紡し編 #10,影纺篇 #10,
0x1b9a0,0x1e328,12,影紡し編 #11,影纺篇 #11,
0x1b9c8,0x1e362,12,影紡し編 #12,影纺篇 #12,
0x1b9f0,0x1e39c,12,影紡し編 END,影纺篇 END,
0x1ba70,0x1e45a,11,罪滅し編 #1,罪灭篇 #1,
0x1ba97,0x1e494,11,罪滅し編 #2,罪灭篇 #2,
0x1babe,0x1e4ce,11,罪滅し編 #3,罪灭篇 #3,
0x1bae5,0x1e508,11,罪滅し編 #4,罪灭篇 #4,
0x1bb0c,0x1e542,11,罪滅し編 #5,罪灭篇 #5,
0x1bb33,0x1e57c,11,罪滅し編 #6,罪灭篇 #6,
0x1bb5a,0x1e5b6,11,罪滅し編 #7,罪灭篇 #7,
0x1bb81,0x1e5f0,11,罪滅し編 #8,罪灭篇 #8,
0x1bba8,0x1e62a,11,罪滅し編 #9,罪灭篇 #9,
0x1bbcf,0x1e664,12,罪滅し編 #10,罪灭篇 #10,
0x1bbf7,0x1e69e,12,罪滅し編 #11,罪灭篇 #11,
0x1bc1f,0x1e6d8,12,罪滅し編 #12,罪灭篇 #12,
0x1bc47,0x1e712,12,罪滅し編 #13,罪灭篇 #13,
0x1bc6f,0x1e74c,12,罪滅し編 #14,罪灭篇 #14,
0x1bc97,0x1e786,12,罪滅し編 #15,罪灭篇 #15,
0x1bcbf,0x1e7c0,12,罪滅し編 #16,罪灭篇 #16,
0x1bce7,0x1e7fa,12,罪滅し編 #17,罪灭篇 #17,
0x1bd0f,0x1e834,12,罪滅し編 #18,罪灭篇 #18,
0x1bd37,0x1e86e,12,罪滅し編 #19,罪灭篇 #19,
0x1bd5f,0x1e8a8,12,罪滅し編 #20,罪灭篇 #20,
0x1bd87,0x1e8e2,12,罪滅し編 #21,罪灭篇 #21,
0x1bdaf,0x1e91c,12,罪滅し編 #22,罪灭篇 #22,
0x1bdd7,0x1e956,12,罪滅し編 #23,罪灭篇 #23,
0x1bdff,0x1e990,12,罪滅し編 #24,罪灭篇 #24,
0x1be1f,0x1e9c2,12,罪滅し編 #25,罪灭篇 #25,
0x1be47,0x1e9fc,12,罪滅し編 #26,罪灭篇 #26,
0x1be6f,0x1ea36,12,罪滅し編 #27,罪灭篇 #27,
0x1bea7,0x1ea80,16,罪滅し編 BADEND1,罪灭篇 BADEND1,
0x1bed3,0x1eaba,12,罪滅し編 #28,罪灭篇 #28,
0x1befb,0x1eaf4,12,罪滅し編 END,罪灭篇 END,
0x1bf33,0x1eb3e,16,罪滅し編 BADEND2,罪灭篇 BADEND2,
0x1bfc7,0x1ebe0,11,宵越し編 #1,宵越篇 #1,
0x1bfee,0x1ec1a,11,宵越し編 #2,宵越篇 #2,
0x1c015,0x1ec54,11,宵越し編 #3,宵越篇 #3,
0x1c03c,0x1ec8e,11,宵越し編 #4,宵越篇 #4,
0x1c063,0x1ecc8,11,宵越し編 #5,宵越篇 #5,
0x1c08a,0x1ed02,11,宵越し編 #6,宵越篇 #6,
0x1c0b1,0x1ed3c,11,宵越し編 #7,宵越篇 #7,
0x1c0d8,0x1ed76,11,宵越し編 #8,宵越篇 #8,
0x1c0ff,0x1edb0,11,宵越し編 #9,宵越篇 #9,
0x1c126,0x1edea,12,宵越し編 #10,宵越篇 #10,
0x1c14e,0x1ee24,12,宵越し編 #11,宵越篇 #11,
0x1c176,0x1ee5e,12,宵越し編 #12,宵越篇 #12,
0x1c19e,0x1ee98,12,宵越し編 #13,宵越篇 #13,
0x1c1c6,0x1eed2,12,宵越し編 END,宵越篇 END,
0x1c1fe,0x1ef1c,16,宵越し編 BADEND1,宵越篇 BADEND1,
0x1c23a,0x1ef66,12,宵越し編 #5B,宵越篇 #5B,
0x1c262,0x1efa0,12,宵越し編 #6B,宵越篇 #6B,
0x1c28a,0x1efda,12,宵越し編 #7B,宵越篇 #7B,
0x1c2b2,0x1f014,16,宵越し編 BADEND2,宵越篇 BADEND2,
0x1c2ee,0x1f05e,16,宵越し編 BADEND3,宵越篇 BADEND3,
0x1c33a,0x1f0b8,11,皆殺し編 #1,皆杀篇 #1,
0x1c361,0x1f0f2,11,皆殺し編 #2,皆杀篇 #2,
0x1c388,0x1f12c,11,皆殺し編 #3,皆杀篇 #3,
0x1c3af,0x1f166,11,皆殺し編 #4,皆杀篇 #4,
0x1c3d6,0x1f1a0,11,皆殺し編 #5,皆杀篇 #5,
0x1c3fd,0x1f1da,11,皆殺し編 #6,皆杀篇 #6,
0x1c424,0x1f214,11,皆殺し編 #7,皆杀篇 #7,
0x1c44b,0x1f24e,11,皆殺し編 #8,皆杀篇 #8,
0x1c472,0x1f288,11,皆殺し編 #9,皆杀篇 #9,
0x1c499,0x1f2c2,12,皆殺し編 #10,皆杀篇 #10,
0x1c4c1,0x1f2fc,12,皆殺し編 #11,皆杀篇 #11,
0x1c4e9,0x1f336,12,皆殺し編 #12,皆杀篇 #12,
0x1c511,0x1f370,12,皆殺し編 #13,皆杀篇 #13,
0x1c539,0x1f3aa,12,皆殺し編 #14,皆杀篇 #14,
0x1c561,0x1f3e4,12,皆殺し編 #15,皆杀篇 #15,
0x1c589,0x1f41e,12,皆殺し編 #16,皆杀篇 #16,
0x1c5b1,0x1f458,12,皆殺し編 #17,皆杀篇 #17,
0x1c5d9,0x1f492,12,皆殺し編 #18,皆杀篇 #18,
0x1c601,0x1f4cc,12,皆殺し編 #19,皆杀篇 #19,
0x1c629,0x1f506,12,皆殺し編 #20,皆杀篇 #20,
0x1c651,0x1f540,12,皆殺し編 #21,皆杀篇 #21,
0x1c679,0x1f57a,12,皆殺し編 #22,皆杀篇 #22,
0x1c6a1,0x1f5b4,12,皆殺し編 #23,皆杀篇 #23,
0x1c6c9,0x1f5ee,12,皆殺し編 #24,皆杀篇 #24,
0x1c6f1,0x1f628,12,皆殺し編 #25,皆杀篇 #25,
0x1c719,0x1f662,12,皆殺し編 #26,皆杀篇 #26,
0x1c741,0x1f69c,12,皆殺し編 #27,皆杀篇 #27,
0x1c769,0x1f6d6,12,皆殺し編 #28,皆杀篇 #28,
0x1c791,0x1f710,12,皆殺し編 #29,皆杀篇 #29,
0x1c7b9,0x1f74a,12,皆殺し編 END,皆杀篇 END,
0x1c809,0x1f7ac,11,解々し編 #1,解々し編 #1,
0x1c830,0x1f7e6,11,解々し編 #2,解解篇 #2,
0x1c857,0x1f820,11,解々し編 #3,解解篇 #3,
0x1c87e,0x1f85a,11,解々し編 #4,解解篇 #4,
0x1c8a5,0x1f894,11,解々し編 #5,解解篇 #5,
0x1c8cc,0x1f8ce,11,解々し編 #6,解解篇 #6,
0x1c8f3,0x1f908,11,解々し編 #7,解解篇 #7,
0x1c91a,0x1f942,11,解々し編 #8,解解篇 #8,
0x1c941,0x1f97c,11,解々し編 #9,解解篇 #9,
0x1c968,0x1f9b6,12,解々し編 #10,解解篇 #10,
0x1c990,0x1f9f0,12,解々し編 #11,解解篇 #11,
0x1c9b8,0x1fa2a,12,解々し編 END,解解篇 END,
0x1c9e0,0x1fa64,13,覚めない夢 #1,醒不来的梦 #1,
0x1ca09,0x1fa9e,13,覚めない夢 #2,醒不来的梦 #2,
0x1ca32,0x1fad8,13,覚めない夢 #3,醒不来的梦 #3,
0x1ca5b,0x1fb12,13,覚めない夢 #4,醒不来的梦 #4,
0x1ca84,0x1fb4c,13,覚めない夢 #5,醒不来的梦 #5,
0x1caad,0x1fb86,13,覚めない夢 #6,醒不来的梦 #6,
0x1cad6,0x1fbc0,13,覚めない夢 #7,醒不来的梦 #7,
0x1cb23,0x1fc34,10,カケラ紡ぎ,碎片纺织,
0x1cb7d,0x1fcb8,11,祭囃し編 #1,祭囃篇 #1,
0x1cba4,0x1fcf2,11,祭囃し編 #2,祭囃篇 #2,
0x1cbcb,0x1fd2c,11,祭囃し編 #3,祭囃篇 #3,
0x1cbf2,0x1fd66,11,祭囃し編 #4,祭囃篇 #4,
0x1cc19,0x1fda0,11,祭囃し編 #5,祭囃篇 #5,
0x1cc40,0x1fdda,11,祭囃し編 #6,祭囃篇 #6,
0x1cc67,0x1fe14,11,祭囃し編 #7,祭囃篇 #7,
0x1cc8e,0x1fe4e,11,祭囃し編 #8,祭囃篇 #8,
0x1ccb5,0x1fe88,11,祭囃し編 #9,祭囃篇 #9,
0x1ccdc,0x1fec2,12,祭囃し編 #10,祭囃篇 #10,
0x1cd04,0x1fefc,12,祭囃し編 #11,祭囃篇 #11,
0x1cd2c,0x1ff36,12,祭囃し編 #12,祭囃篇 #12,
0x1cd54,0x1ff70,12,祭囃し編 #13,祭囃篇 #13,
0x1cd7c,0x1ffaa,12,祭囃し編 #14,祭囃篇 #14,
0x1cda4,0x1ffe4,12,祭囃し編 #15,祭囃篇 #15,
0x1cdcc,0x2001e,12,祭囃し編 #16,祭囃篇 #16,
0x1cdf4,0x20058,12,祭囃し編 END,祭囃篇 END,
0x1ce34,0x200aa,15,澪尽し編・表 #1,澪尽篇・表 #1,
0x1ce5f,0x200e4,15,澪尽し編・表 #2,澪尽篇・表 #2,
0x1ce8a,0x2011e,15,澪尽し編・表 #3,澪尽篇・表 #3,
0x1ceb5,0x20158,15,澪尽し編・表 #4,澪尽篇・表 #4,
0x1cee0,0x20192,15,澪尽し編・表 #5,澪尽篇・表 #5,
0x1cf0b,0x201cc,15,澪尽し編・表 #6,澪尽篇・表 #6,
0x1cf36,0x20206,15,澪尽し編・表 #7,澪尽篇・表 #7,
0x1cf61,0x20240,15,澪尽し編・表 #8,澪尽篇・表 #8,
0x1cf9c,0x2028a,20,澪尽し編・表 BADEND1,澪尽篇・表 BADEND1,
0x1cfcc,0x202c4,15,澪尽し編・表 #9,澪尽篇・表 #9,
0x1d007,0x2030e,20,澪尽し編・表 BADEND2,澪尽篇・表 BADEND2,
0x1d037,0x20348,16,澪尽し編・表 #10,澪尽篇・表 #10,
0x1d073,0x20392,20,澪尽し編・表 BADEND3,澪尽篇・表 BADEND3,
0x1d0a3,0x203cc,16,澪尽し編・表 #11,澪尽篇・表 #11,
0x1d0cf,0x20406,16,澪尽し編・表 #12,澪尽篇・表 #12,
0x1d0fb,0x20440,16,澪尽し編・表 #13,澪尽篇・表 #13,
0x1d127,0x2047a,16,澪尽し編・表 #14,澪尽篇・表 #14,
0x1d153,0x204b4,16,澪尽し編・表 #15,澪尽篇・表 #15,
0x1d17f,0x204ee,16,澪尽し編・表 #16,澪尽篇・表 #16,
0x1d1ab,0x20528,16,澪尽し編・表 #17,澪尽篇・表 #17,
0x1d1d7,0x20562,16,澪尽し編・表 #18,澪尽篇・表 #18,
0x1d203,0x2059c,16,澪尽し編・表 #19,澪尽篇・表 #19,
0x1d22f,0x205d6,16,澪尽し編・表 #20,澪尽篇・表 #20,
0x1d25b,0x20610,16,澪尽し編・表 #21,澪尽篇・表 #21,
0x1d287,0x2064a,16,澪尽し編・表 #22,澪尽篇・表 #22,
0x1d2b3,0x20684,16,澪尽し編・表 #23,澪尽篇・表 #23,
0x1d2df,0x206be,16,澪尽し編・表 #24,澪尽篇・表 #24,
0x1d30b,0x206f8,16,澪尽し編・表 #25,澪尽篇・表 #25,
0x1d337,0x20732,16,澪尽し編・表 #26,澪尽篇・表 #26,
0x1d363,0x2076c,16,澪尽し編・表 END,澪尽篇・表 END,
,0x2079e,21,澪尽し編 お疲れさま会,澪尽篇 慰劳会,
0x1d3af,0x207f8,15,澪尽し編・裏 #1,澪尽篇・里 #1,
0x1d3da,0x20832,15,澪尽し編・裏 #2,澪尽篇・里 #2,
0x1d405,0x2086c,15,澪尽し編・裏 #3,澪尽篇・里 #3,
0x1d430,0x208a6,15,澪尽し編・裏 #4,澪尽篇・里 #4,
0x1d45b,0x208e0,15,澪尽し編・裏 #5,澪尽篇・里 #5,
0x1d486,0x2091a,15,澪尽し編・裏 #6,澪尽篇・里 #6,
0x1d4b1,0x20954,15,澪尽し編・裏 #7,澪尽篇・里 #7,
0x1d4dc,0x2098e,15,澪尽し編・裏 #8,澪尽篇・里 #8,
0x1d507,0x209c8,15,澪尽し編・裏 #9,澪尽篇・里 #9,
0x1d532,0x20a02,16,澪尽し編・裏 #10,澪尽篇・里 #10,
0x1d55e,0x20a3c,16,澪尽し編・裏 #11,澪尽篇・里 #11,
0x1d58a,0x20a76,16,澪尽し編・裏 #12,澪尽篇・里 #12,
0x1d5b6,0x20ab0,16,澪尽し編・裏 #13,澪尽篇・里 #13,
0x1d5e2,0x20aea,16,澪尽し編・裏 #14,澪尽篇・里 #14,
0x1d60e,0x20b24,16,澪尽し編・裏 #15,澪尽篇・里 #15,
0x1d63a,0x20b5e,16,澪尽し編・裏 #16,澪尽篇・里 #16,
0x1d666,0x20b98,16,澪尽し編・裏 END,澪尽篇・里 END,
0x1d6ba,0x20bfa,11,賽殺し編 #1,赛杀篇 #1,
0x1d6e1,0x20c34,11,賽殺し編 #2,赛杀篇 #2,
0x1d708,0x20c6e,11,賽殺し編 #3,赛杀篇 #3,
0x1d72f,0x20ca8,11,賽殺し編 #4,赛杀篇 #4,
0x1d756,0x20ce2,11,賽殺し編 #5,赛杀篇 #5,
0x1d77d,0x20d1c,12,賽殺し編 END,赛杀篇 END,
0x1d7d5,0x20d86,11,言祝し編 #1,言祝篇 #1,
0x1d7fc,0x20dc0,11,言祝し編 #2,言祝篇 #2,
0x1d823,0x20dfa,11,言祝し編 #3,言祝篇 #3,
0x1d84a,0x20e34,11,言祝し編 #4,言祝篇 #4,
0x1d871,0x20e6e,11,言祝し編 #5,言祝篇 #5,
0x1d898,0x20ea8,11,言祝し編 #6,言祝篇 #6,
0x1d8bf,0x20ee2,11,言祝し編 #7,言祝篇 #7,
0x1d8e6,0x20f1c,11,言祝し編 #8,言祝篇 #8,
0x1d90d,0x20f56,11,言祝し編 #9,言祝篇 #9,
0x1d934,0x20f90,12,言祝し編 #10,言祝篇 #10,
0x1d95c,0x20fca,12,言祝し編 #11,言祝篇 #11,
